name,city,country_iso,code,lat,longit,alt
Ghadames East Airport,Ghadames,LY,LTD,30.15169906616211,9.715310096740724,1122
Gisenyi Airport,Gisenyi,RW,GYI,-1.6771999597549438,29.258899688720703,5082
Kigali International Airport,Kigali,RW,KGL,-1.96863,30.1395,4859
Kamembe Airport,Kamembe,RW,KME,-2.462239980697632,28.907899856567383,5192
Dongola Airport,Dongola,SD,DOG,19.1539001465,30.4300994873,772
Damazin Airport,Damazin,SD,RSS,11.7859,34.3367,1582
El Fasher Airport,El Fasher,SD,ELF,13.61489963531494,25.32460021972656,2393
Kassala Airport,Kassala,SD,KSL,15.387499809265137,36.328800201416016,1671
Kadugli Airport,Kadugli,SD,KDX,11.137999534600002,29.7010993958,1848
El Obeid Airport,El Obeid,SD,EBD,13.153200149536133,30.23270034790039,1927
Juba International Airport,Juba,SS,JUB,4.87201023102,31.6011009216,1513
Malakal Airport,Malakal,SD,MAK,9.55897045135498,31.65220069885254,1291
Khartoum International Airport,Khartoum,SD,KRT,15.589500427246094,32.553199768066406,1265
Arusha Airport,Arusha,TZ,ARK,-3.3677899837493896,36.63330078125,4550
Julius Nyerere International Airport,Dar Es Salaam,TZ,DAR,-6.87811,39.202599,182
Dodoma Airport,Dodoma,TZ,DOD,-6.170440196990967,35.75260162353516,3673
Iringa Airport,Iringa,TZ,IRI,-7.668630123138428,35.75210189819336,4678
Kilimanjaro International Airport,Kilimanjaro,TZ,JRO,-3.42940998077,37.0745010376,2932
Lake Manyara Airport,Lake Manyara,TZ,LKY,-3.376310110092163,35.81829833984375,4150
Mtwara Airport,Mtwara,TZ,MYW,-10.339099884033203,40.18180084228516,371
Mwanza Airport,Mwanza,TZ,MWZ,-2.4444899559021,32.932701110839844,3763
Pemba Airport,Pemba,TZ,PMA,-5.257259845733643,39.8114013671875,80
Tanga Airport,Tanga,TZ,TGT,-5.092360019683838,39.07120132446289,129
Abeid Amani Karume International Airport,Zanzibar,TZ,ZNZ,-6.22202,39.224899,54
Entebbe International Airport,Entebbe,UG,EBB,0.042386,32.443501,3782
Soroti Airport,Soroti,UG,SRT,1.7276899814605713,33.622798919677734,3697
Tirana International Airport Mother Teresa,Tirana,AL,TIA,41.4146995544,19.7206001282,126
Burgas Airport,Bourgas,BG,BOJ,42.56959915161133,27.515199661254883,135
Gorna Oryahovitsa Airport,Gorna Orechovica,BG,GOZ,43.15140151977539,25.712900161743164,285
Plovdiv International Airport,Plovdiv,BG,PDV,42.067799,24.8508,597
Sofia Airport,Sofia,BG,SOF,42.69669342041016,23.411436080932617,1742
Stara Zagora Airport,Stara Zagora,BG,SZR,42.3766667,25.655,558
Varna Airport,Varna,BG,VAR,43.232101,27.8251,230
Larnaca International Airport,Larnaca,CY,LCA,34.875099182128906,33.624900817871094,8
Paphos International Airport,Paphos,CY,PFO,34.71799850463867,32.48569869995117,41
RAF Akrotiri,Akrotiri,CY,AKT,34.590401,32.9879,76
Dubrovnik Airport,Dubrovnik,HR,DBV,42.5614013671875,18.268199920654297,527
Osijek Airport,Osijek,HR,OSI,45.46269989013672,18.810199737548828,290
Pula Airport,Pula,HR,PUY,44.89350128173828,13.922200202941896,274
Rijeka Airport,Rijeka,HR,RJK,45.21689987182617,14.570300102233888,278
Split Airport,Split,HR,SPU,43.53889846801758,16.29800033569336,79
Zagreb Airport,Zagreb,HR,ZAG,45.7429008484,16.0687999725,353
Zadar Airport,Zadar,HR,ZAD,44.108299,15.3467,289
Albacete-Los Llanos Airport,Albacete,ES,ABC,38.9485015869,-1.86352002621,2302
Alicante International Airport,Alicante,ES,ALC,38.28219985961914,-0.5581560134887695,142
Almería International Airport,Almeria,ES,LEI,36.84389877319336,-2.3701000213623047,70
Asturias Airport,Aviles,ES,OVD,43.5635986328125,-6.0346198081970215,416
Córdoba Airport,Cordoba,ES,ODB,37.84199905395508,-4.848879814147949,297
Bilbao Airport,Bilbao,ES,BIO,43.30110168457031,-2.9106099605560303,138
Barcelona International Airport,Barcelona,ES,BCN,41.2971,2.07846,12
Badajoz Airport,Badajoz,ES,BJZ,38.891300201416016,-6.8213300704956055,609
A Coruña Airport,La Coruna,ES,LCG,43.302101,-8.37726,326
Girona Airport,Gerona,ES,GRO,41.901000977,2.7605500221,468
Federico Garcia Lorca Airport,Granada,ES,GRX,37.18870162963867,-3.777359962463379,1860
Ibiza Airport,Ibiza,ES,IBZ,38.8728981018,1.3731199502899998,24
Jerez Airport,Jerez,ES,XRY,36.74459838867188,-6.060110092163086,93
San Javier Airport,Murcia,ES,MJV,37.775001525878906,-0.8123890161514282,11
Adolfo Suárez Madrid–Barajas Airport,Madrid,ES,MAD,40.471926,-3.56264,1998
